iter	Passed	Remaining
0	145	145265
1	145	72822
2	146	48656
3	146	36576
4	147	29332
5	147	24497
6	148	21041
7	148	18448
8	149	16432
9	149	14820
10	150	13500
11	150	12400
12	151	11470
13	151	10674
14	152	9982
15	152	9376
16	152	8842
17	153	8368
18	153	7943
19	154	7560
20	154	7216
21	155	6901
22	155	6614
23	156	6351
24	156	6108
25	157	5885
26	157	5677
27	158	5485
28	158	5307
29	158	5140
30	159	4983
31	159	4836
32	160	4698
33	160	4569
34	161	4447
35	161	4331
36	162	4223
37	162	4119
38	163	4021
39	163	3927
40	164	3838
41	164	3754
42	165	3673
43	165	3596
44	166	3523
45	166	3452
46	166	3385
47	167	3320
48	167	3258
49	168	3198
50	168	3141
51	169	3086
52	169	3034
53	170	2983
54	170	2933
55	171	2886
56	171	2840
57	172	2795
58	172	2755
59	173	2714
60	173	2674
61	174	2635
62	174	2597
63	175	2561
64	175	2525
65	176	2491
66	176	2458
67	177	2426
68	177	2395
69	177	2364
70	178	2334
71	178	2305
72	179	2277
73	179	2250
74	180	2223
75	180	2197
76	181	2172
77	181	2147
78	182	2123
79	182	2099
80	183	2076
81	183	2054
82	183	2030
83	184	2009
84	184	1988
85	185	1968
86	185	1949
87	186	1930
88	186	1912
89	187	1893
90	187	1875
91	188	1857
92	188	1840
93	189	1822
94	189	1806
95	190	1789
96	190	1773
97	191	1758
98	191	1742
99	191	1727
100	192	1712
101	192	1698
102	193	1684
103	193	1669
104	194	1656
105	194	1642
106	195	1629
107	195	1616
108	196	1603
109	196	1590
110	197	1578
111	197	1566
112	198	1554
113	198	1542
114	198	1530
115	199	1519
116	199	1508
117	200	1497
118	200	1486
119	201	1476
120	201	1465
121	202	1454
122	202	1444
123	203	1434
124	203	1424
125	204	1415
126	204	1405
127	204	1395
128	205	1386
129	205	1377
130	206	1368
131	206	1359
132	207	1351
133	207	1342
134	208	1334
135	208	1325
136	209	1317
137	209	1309
138	210	1300
139	210	1292
140	210	1285
141	211	1276
142	211	1268
143	212	1261
144	212	1253
145	213	1246
146	213	1239
147	214	1232
148	214	1225
149	215	1218
150	215	1211
151	215	1204
152	216	1198
153	216	1191
154	217	1185
155	217	1178
156	218	1172
157	218	1165
158	219	1159
159	219	1153
160	220	1146
161	220	1140
162	220	1134
163	221	1128
164	221	1123
165	222	1117
166	222	1111
167	223	1105
168	223	1100
169	224	1094
170	224	1089
171	225	1084
172	225	1078
173	226	1073
174	226	1068
175	227	1063
176	227	1058
177	228	1053
178	228	1048
179	228	1043
180	229	1038
181	229	1033
182	230	1028
183	230	1023
184	231	1019
185	231	1014
186	232	1009
187	232	1005
188	233	1000
189	233	996
190	234	991
191	234	987
192	235	982
193	235	978
194	236	974
195	236	970
196	236	965
197	237	961
198	237	957
199	238	953
200	238	949
201	239	945
202	239	941
203	240	937
204	240	933
205	241	929
206	241	925
207	242	921
208	242	917
209	242	914
210	243	910
211	243	906
212	244	903
213	244	899
214	245	896
215	245	892
216	246	889
217	246	885
218	247	881
219	247	878
220	248	874
221	248	871
222	249	868
223	249	864
224	250	861
225	250	858
226	251	854
227	251	851
228	252	848
229	252	845
230	252	842
231	253	839
232	253	835
233	254	832
234	254	829
235	255	826
236	255	823
237	256	820
238	256	817
239	257	814
240	257	811
241	258	808
242	258	805
243	259	802
244	259	799
245	260	797
246	260	794
247	260	791
248	261	788
249	261	785
250	262	782
251	262	780
252	263	777
253	263	774
254	264	771
255	264	769
256	265	766
257	265	763
258	266	761
259	266	758
260	266	755
261	267	753
262	267	750
263	268	748
264	268	745
265	269	743
266	269	740
267	270	738
268	270	735
269	271	733
270	271	730
271	272	728
272	272	726
273	273	723
274	273	721
275	274	718
276	274	716
277	275	714
278	275	711
279	275	709
280	276	707
281	276	704
282	277	702
283	277	700
284	278	698
285	278	695
286	279	693
287	279	691
288	280	689
289	280	687
290	281	684
291	281	682
292	282	680
293	282	678
294	283	676
295	283	674
296	284	672
297	284	670
298	285	668
299	285	666
300	285	664
301	286	662
302	286	660
303	287	658
304	287	656
305	288	654
306	288	651
307	289	650
308	289	648
309	290	646
310	290	644
311	291	642
312	291	640
313	292	638
314	292	636
315	293	634
316	293	632
317	294	630
318	294	628
319	294	626
320	295	624
321	295	623
322	296	621
323	296	619
324	297	617
325	297	615
326	298	613
327	298	612
328	299	610
329	299	608
330	300	606
331	300	604
332	301	603
333	301	601
334	302	599
335	302	597
336	303	596
337	303	594
338	304	592
339	304	591
340	304	589
341	305	587
342	305	585
343	306	584
344	306	582
345	307	580
